index_recipenlg,split
725909,train
728740,train
730080,train
730231,train
730519,train
731099,validation
731747,test
733571,train
734615,test
735421,train
737194,train
739424,train
742748,test
744684,train
746323,train
747014,train
748786,train
750054,train
750705,train
751227,train
752452,train
755379,train
757297,train
758740,train
761229,train
761824,validation
762019,train
762429,train
763267,train
763800,train
766307,train
766966,train
771978,train
772352,train
773580,train
773841,train
779016,train
779336,train
784411,train
784417,train
785265,train
786997,train
787350,train
789390,train
789998,train
790310,validation
791199,test
793318,train
793842,train
794517,validation
796562,train
797622,train
798190,train
800144,train
800739,train
802295,train
803455,train
804227,train
804841,train
807862,train
808212,train
808518,train
811188,validation
813802,train
815058,train
816697,train
816789,train
817584,train
817698,train
818595,train
819228,train
821087,train
822351,train
824014,train
825221,train
826773,train
829929,validation
831149,train
831460,train
832153,train
838878,train
844417,train
846390,train
847049,train
848673,train
848714,train
850882,train
851513,train
852026,train
852719,train
854552,train
854655,train
857149,test
857187,train
859177,train
860026,train
860794,train
862587,train
863271,train
863853,train
864299,train
864599,train
865024,validation
865291,train
867206,train
867480,train
867911,test
867998,train
868624,train
869332,test
869568,validation
870218,validation
870665,train
871938,train
872677,train
874164,test
874550,train
875048,train
879925,train
881903,train
881963,train
882392,train
886325,train
888406,train
888428,train
890873,train
891005,train
891038,train
891071,train
891274,train
891954,train
892404,train
892421,train
893543,train
894376,train
895030,train
895119,test
895551,train
896620,validation
896648,train
896962,train
897140,train
898554,train
899216,train
899281,train
899292,train
899526,test
899527,validation
900247,test
901251,train
901468,train
901774,test
902169,train
902527,train
902538,train
902598,train
903026,validation
903859,train
904550,train
904876,train
905081,train
905218,train
905571,validation
906065,train
906333,train
906370,train
906447,validation
906554,train
906618,validation
906895,train
906985,train
907090,train
907183,train
907295,train
907777,train
907905,train
907980,validation
908411,train
908660,train
909998,test
910410,train
910825,train
911772,test
911992,train
912186,train
912296,train
912451,train
912651,train
913580,train
914717,validation
914855,train
914887,train
915200,train
915508,train
916576,train
917627,train
917734,train
918047,train
918515,validation
918812,train
918891,validation
919361,train
919547,validation
919976,train
920219,train
920720,train
921100,train
921880,train
922239,train
922302,train
922385,train
923492,train
923791,train
924614,train
925378,train
925410,train
927348,test
927676,train
927748,train
928142,train
928195,test
928788,train
929214,train
929545,train
929995,train
930364,train
930434,validation
930801,test
930901,train
930917,train
931213,test
931295,train
931660,train
931817,train
931952,train
931976,train
932077,train
932103,test
932970,test
932977,train
933943,train
934082,test
934686,validation
935015,train
935431,test
935698,validation
935867,train
936948,train
937210,train
937593,train
937802,train
938360,validation
939469,train
940003,train
940232,train
940254,train
940319,test
940379,train
940961,train
941420,train
941879,train
941888,train
941942,train
942238,train
942545,train
942859,train
943335,train
943968,test
944255,train
944464,train
944702,train
945447,train
945911,train
945966,train
946024,test
946107,train
946445,train
946516,train
947929,test
948797,train
948816,train
948948,train
948962,train
948973,train
949791,validation
949879,train
950056,train
950087,train
950952,train
951070,train
951106,train
951245,train
952489,train
953103,train
953375,train
954058,train
954179,train
954491,train
955016,train
955026,validation
955245,test
955418,train
955425,train
955769,train
955916,train
956089,train
956647,train
956725,train
956841,train
957149,train
957417,train
957603,train
960310,train
960510,train
960831,train
960961,train
961800,train
961989,train
964062,train
965765,train
966063,train
968142,train
968770,validation
969364,validation
969461,train
969665,train
970625,train
971007,train
971756,validation
971931,train
973103,train
973237,train
973259,train
974069,train
974955,train
975292,train
976004,validation
976419,validation
976531,train
980238,train
981657,train
981811,train
981937,train
982736,train
984067,train
984664,train
985252,train
985512,train
986149,test
986478,train
986559,train
986673,validation
986882,train
987460,validation
987607,train
988350,train
988947,train
990036,train
992058,train
992586,train
996097,train
996159,train
996189,validation
997811,test
998116,train
998826,train
998988,train
999277,train
1000461,test
1000964,train
1001427,train
1002658,train
1003079,train
1003265,train
1003648,validation
1003838,train
1004326,train
1005068,train
1005786,test
1006589,validation
1006723,train
1007800,train
1008477,train
1008645,train
1009965,test
1010933,train
1012750,train
1013988,train
1014194,train
1015780,train
1016161,train
1016625,train
1016977,train
1016978,train
1017240,train
1017472,train
1018730,train
1018800,train
1019257,train
1020938,train
1023426,train
1024285,train
1024556,test
1026412,train
1026512,train
1026513,train
1026858,train
1027642,train
1028601,train
1029910,train
1030741,train
1031026,train
1031158,train
1031239,train
1031314,train
1032390,train
1032441,train
1033435,train
1033508,train
1033638,train
1033791,validation
1034160,train
1034638,train
1035050,train
1035791,train
1036846,train
1036992,train
1037520,test
1038262,train
1040961,test
1040984,train
1042127,train
1043020,train
1043051,validation
1044406,train
1044749,validation
1044811,train
1045847,train
1046843,validation
1046991,train
1047249,train
1048412,train
1049517,test
1049968,test
1050544,train
1051418,train
1052919,test
1054033,train
1054136,train
1055024,test
1055193,train
1055768,train
1056209,train
1056463,test
1056800,test
1058494,test
1059539,train
1059751,validation
1060497,validation
1062188,train
1062360,validation
1062657,train
1063227,train
1063319,train
1063583,train
1063661,train
1063868,train
1064316,train
1064359,train
1064590,train
1065732,train
1067223,train
1068600,train
1070279,train
1070562,train
1070598,validation
1072380,train
1073662,train
1074072,train
1074728,validation
1074756,train
1075030,validation
1075428,train
1075897,test
1075928,train
1076457,test
1076726,train
1078008,train
1078446,train
1078543,train
1078855,train
1078883,validation
1079349,test
1080016,train
1080456,train
1080923,train
1081463,train
1082240,train
1082547,train
1084581,train
1084838,train
1084951,train
1085372,train
1086124,train
1087046,train
1088075,test
1088235,train
1088747,train
1093203,train
1094630,train
1094647,test
1096226,train
1096286,train
1096301,train
1096991,validation
1098228,test
1098868,train
1099117,train
1099182,train
1099903,test
1100152,train
1100317,test
1102997,train
1103099,train
1103838,train
1104652,train
1105652,train
1105655,train
1105691,train
1105808,train
1105887,train
1106877,train
1107017,test
1107184,validation
1107684,test
1108754,test
1109105,train
1109170,train
1109172,train
1109653,train
1110205,train
1110601,validation
1110882,train
1111463,train
1111732,train
1113412,train
1114322,train
1115128,train
1115462,validation
1116671,train
1116848,train
1117666,validation
1117834,test
1118670,validation
1119536,validation
1119716,train
1119737,train
1120810,train
1121353,train
1122865,train
1123492,train
1123747,train
1123761,train
1123905,train
1123938,train
1124872,train
1124907,train
1125680,validation
1126989,train
1128483,train
1130897,train
1131643,validation
1131742,train
1136506,train
1136586,train
1136783,train
1137161,validation
1137720,train
1138457,train
1138722,validation
1139189,validation
1139488,train
1139747,validation
1140102,train
1142329,train
1142742,train
1143041,train
1143129,train
1143505,validation
1144033,validation
1145546,train
1146057,validation
1146952,train
1148035,train
1148072,train
1149214,train
1149392,validation
1149776,validation
1150508,train
1150650,train
1151029,train
1152139,train
1152256,test
1152398,train
1153003,train
1153565,train
1154879,train
1155146,train
1155678,train
1155725,train
1157281,train
1157556,test
1157938,train
1158119,train
1158583,test
1158736,train
1159730,test
1161948,train
1163054,train
1164585,train
1165206,train
1165481,train
1165724,train
1166878,train
1167111,train
1167251,train
1167450,validation
1168020,test
1168138,test
1169778,train
1170224,train
1170526,train
1171522,train
1171648,train
1173681,train
1174097,train
1174795,train
1177011,train
1178083,train
1178618,train
1180272,test
1180551,train
1180640,train
1181155,train
1181574,train
1182972,train
1183213,train
1183299,train
1184215,train
1185202,train
1187589,train
1188179,test
1188824,train
1189892,train
1191402,test
1192145,train
1192161,train
1194749,train
1194969,train
1195393,test
1195464,train
1197177,validation
1197714,train
1198581,train
1199509,train
1200593,train
1201140,train
1202101,validation
1202228,train
1202672,test
1202906,train
1203056,validation
1203110,train
1204736,train
1205308,validation
1205352,train
1205778,train
1207324,train
1207584,train
1207888,test
1208907,train
1209131,train
1210681,train
1213305,train
1213381,train
1213463,train
1214003,train
1214277,train
1215384,train
1215469,train
1216237,train
1216480,train
1216690,train
1217223,train
1217884,train
1219994,train
1220783,train
1220830,train
1222419,train
1222694,train
1222960,train
1223435,train
1223597,validation
1224359,train
1224496,train
1225576,train
1225826,train
1225970,train
1226201,test
1226632,train
1230579,train
1233616,train
1234175,train
1234328,train
1235320,train
1237315,train
1239465,train
1239572,train
1240082,train
1242805,train
1243189,train
1243286,train
1245265,train
1245505,train
1245619,train
1245799,validation
1245842,train
1246345,train
1246585,train
1247236,train
1248388,train
1248430,train
1248971,test
1249500,train
1249741,train
1249770,train
1250330,validation
1251157,train
1251386,validation
1251882,train
1252170,validation
1252541,train
1253069,validation
1253087,train
1253320,validation
1253877,train
1254662,train
1256209,train
1256269,train
1259845,train
1261019,train
1261031,train
1261738,train
1262273,validation
1263248,train
1264119,test
1264912,train
1265132,train
1265281,train
1265330,train
1266171,train
1268318,train
1268326,train
1269481,train
1269545,test
1269767,test
1271188,train
1271393,train
1271416,train
1271851,train
1272046,train
1272219,train
1272236,train
1272485,validation
1272861,train
1273676,train
1274407,train
1274727,train
1274859,train
1275462,test
1276087,train
1276428,validation
1276588,train
1278778,train
1278866,train
1278940,train
1279332,validation
1279493,test
1279656,train
1280223,train
1280328,train
1281262,test
1281533,train
1281867,train
1283414,train
1283448,train
1283621,train
1283854,train
1284006,test
1284725,train
1285123,train
1287066,test
1287229,train
1287810,validation
1287831,train
1288338,train
1288383,validation
1288540,train
1289083,train
1289303,train
1291086,train
1291109,train
1291566,train
1291642,test
1294075,train
1294576,train
1295102,train
1296068,train
1296094,train
1296859,test
1297046,train
1297533,train
1298319,train
1298711,train
1299118,train
1299221,train
1299518,validation
1299764,train
1299988,train
1300016,train
1300236,train
1300357,train
1300677,train
1301228,train
1302171,train
1302698,train
1303376,train
1303806,validation
1303864,validation
1303954,train
1304737,validation
1305289,train
1306338,train
1306503,train
1306707,train
1307329,train
1307486,test
1307685,train
1309013,train
1309515,train
1311273,test
1311414,train
1312182,train
1312225,train
1312273,train
1313350,test
1313389,test
1313613,train
1313988,test
1314420,train
1314877,validation
1316072,train
1316328,train
1317053,train
1317848,train
1318461,train
1318514,train
1319089,train
1319196,train
1319412,train
1319423,train
1319619,test
1320499,train
1320769,train
1321261,train
1321292,validation
1321364,train
1323060,train
1323233,validation
1323385,test
1323552,train
1323721,train
1323726,train
1324731,validation
1324779,train
1325505,train
1325829,test
1326478,train
1327258,train
1327262,train
1327733,train
1327799,train
1327814,train
1328899,train
1329155,train
1329811,test
1330463,train
1330602,test
1330853,train
1331085,validation
1331310,train
1331331,train
1331611,train
1331675,validation
1331712,train
1332319,train
1333136,train
1333175,validation
1333176,train
1333389,train
1333585,train
1335242,validation
1335348,train
1335414,train
1336305,train
1336390,train
1336878,train
1337454,train
1337828,train
1339288,train
1340056,train
1340111,train
1340499,train
1340517,train
1341176,train
1341643,train
1341690,train
1341788,train
1342028,train
1342528,train
1342625,validation
1342715,train
1343035,train
1343092,train
1343097,train
1343202,train
1343862,train
1344106,train
1344397,train
1345443,train
1345945,train
1346161,validation
1346392,train
1347125,test
1347552,train
1348030,train
1349886,train
1350470,train
1350682,validation
1351391,train
1352001,test
1352307,train
1352617,test
1352643,train
1353052,train
1353605,train
1353631,train
1354043,train
1354503,train
1354879,validation
1355358,train
1356287,train
1357038,train
1357057,train
1357071,train
1357162,train
1357712,train
1357758,train
1357800,train
1358014,train
1358227,train
1359443,train
1360391,train
1360818,train
1361386,train
1361600,test
1361845,train
1361975,validation
1362661,train
1363211,train
1363472,train
1363499,test
1364117,train
1364343,validation
1364615,validation
1364672,train
1364944,train
1365457,train
1365567,train
1365664,validation
1365835,test
1366344,train
1366968,train
1367600,train
1367907,train
1368257,validation
1368375,train
1368462,train
1368620,train
1369099,train
1369100,train
1369128,train
1369171,train
1369372,train
1369608,validation
1369740,train
1370507,train
1371240,train
1372350,train
1372363,train
1372497,train
1372590,train
1372767,train
1373044,train
1373300,train
1373695,test
1373818,train
1373896,train
1374020,train
1374157,train
1374394,train
1374442,train
1374490,test
1374581,train
1374993,train
1375021,train
1375242,train
1375455,train
1375741,train
1376342,train
1376469,validation
1378291,train
1378361,train
1378506,train
1378635,train
1378638,train
1378859,train
1379367,train
1379475,validation
1379516,train
1379517,train
1379973,validation
1380120,train
1380434,train
1381082,train
1381324,train
1381928,train
1382067,test
1382080,train
1382259,train
1382372,train
1383884,train
1383926,train
1384013,train
1384074,test
1384174,train
1384468,train
1384552,train
1384777,train
1384940,train
1385046,train
1385282,train
1385295,train
1385643,train
1385927,train
1386267,test
1386492,train
1387209,train
1387444,train
1387546,test
1387565,test
1387763,train
1388631,validation
1389275,train
1389381,train
1389589,train
1389711,train
1389716,train
1389722,validation
1389958,train
1389998,train
1390087,train
1390230,train
1390638,train
1390726,train
1391131,train
1391288,test
1391345,train
1391442,train
1391761,train
1392101,train
1392108,train
1392371,train
1392394,test
1393572,train
1393583,test
1393666,validation
1393825,train
1393963,test
1394142,train
1394332,validation
1394357,train
1394395,validation
1394454,validation
1394541,validation
1394767,train
1395436,train
1395647,train
1395855,train
1395880,train
1396024,train
1396093,train
1396244,test
1396612,train
1397057,validation
1397336,train
1397655,validation
1397673,test
1398078,train
1398523,train
1398645,train
1398881,train
1398954,train
1399682,train
1400429,train
1400713,train
1400766,train
1401948,train
1402036,train
1402732,test
1404098,train
1404482,test
1404546,train
1404552,train
1404709,train
1405070,train
1405386,train
1405395,train
1405459,train
1405734,train
1405842,train
1406260,train
1406512,train
1406644,train
1406758,train
1406885,train
1407157,test
1407368,train
1407746,train
1407825,test
1407832,train
1407937,train
1408128,train
1408280,train
1408688,train
1408861,train
1408892,train
1409100,train
1409161,test
1409224,validation
1409725,train
1409835,train
1409992,train
1410170,train
1410418,train
1411139,train
1411306,validation
1411349,train
1411445,train
1411783,train
1412933,train
1413077,validation
1413869,train
1414311,train
1415096,train
1415264,train
1415372,train
1415452,train
1415475,train
1415502,train
1415929,train
1415992,train
1416465,train
1416571,train
1416846,train
1417829,test
1418127,validation
1418275,test
1418851,train
1419113,train
1419225,train
1419639,train
1419713,validation
1419827,train
1419990,train
1420432,train
1420561,train
1420843,train
1420854,train
1421092,train
1421159,train
1421197,train
1421208,train
1421272,validation
1421749,test
1421854,train
1422620,train
1423163,train
1423275,train
1423339,train
1423770,validation
1424336,train
1424501,test
1425139,train
1425707,train
1426157,train
1427342,validation
1427399,train
1427769,train
1427946,train
1429142,train
1429253,train
1429338,train
1429387,train
1429440,train
1429524,train
1429705,train
1430111,train
1431654,train
1431695,train
1431897,train
1431901,test
1432381,train
1432446,train
1433286,train
1433420,train
1433635,train
1433745,train
1433786,train
1433828,train
1433862,train
1433957,train
1434487,train
1434535,train
1434754,train
1435025,train
1435146,test
1436124,train
1436148,train
1436385,train
1436497,train
1437187,train
1437207,train
1437373,train
1437810,train
1438186,train
1438257,train
1439056,train
1439475,test
1439639,train
1440757,train
1440921,test
1441903,train
1442538,train
1443447,train
1444983,validation
1445237,train
1445305,train
1445534,train
1445586,test
1445604,train
1446027,train
1446143,train
1446145,train
1446656,train
1446728,test
1446807,train
1447130,train
1447186,train
1447332,validation
1447521,train
1447602,train
1447891,validation
1448063,validation
1448534,validation
1448614,test
1449743,train
1449966,train
1450049,train
1450145,validation
1450526,train
1450588,train
1450785,train
1452323,train
1452614,train
1452838,test
1452867,test
1453536,train
1453562,train
1453573,train
1453738,train
1453850,validation
1454322,train
1454461,train
1454993,validation
1455321,train
1455820,train
1456387,train
1456406,train
1456795,train
1457123,train
1457346,train
1457463,validation
1457512,train
1458142,train
1458224,train
1458440,train
1458558,train
1458689,train
1459047,train
1459062,test
1459142,train
1459162,train
1459739,validation
1459946,train
1460191,train
1460851,train
1461305,train
1461324,train
1461454,train
1461496,train
1461666,train
1461908,train
1462114,train
1462378,train
1462571,train
1463829,train
1463907,test
1463951,train
1464150,train
1464221,train
1464534,train
1464700,validation
1465616,test
1466247,train
1466293,train
1467522,train
1467729,validation
1468618,train
1469005,train
1469029,train
1469375,train
1469753,train
1470143,train
1470735,train
1470805,train
1471384,train
1471670,train
1471822,train
1472310,train
1472426,train
1473058,train
1475228,train
1475612,train
1475694,train
1475828,train
1476208,validation
1476435,train
1477075,validation
1477193,train
1477295,train
1477494,train
1477513,train
1477843,train
1477996,train
1478007,train
1478661,train
1479241,train
1479417,train
1479481,train
1479853,train
1479933,train
1480288,train
1480547,train
1480837,train
1481022,test
1481245,test
1481310,train
1481478,train
1482714,train
1483262,train
1483643,train
1484161,train
1484325,validation
1484580,train
1484845,train
1485370,train
1485371,train
1485693,train
1486644,train
1486773,train
1486864,train
1486889,validation
1487500,train
1487533,train
1487669,train
1487695,test
1487709,train
1488244,train
1488535,validation
1488585,validation
1488714,train
1490986,validation
1491058,train
1491168,train
1491578,train
1491855,train
1492534,train
1492591,train
1492744,train
1493750,train
1493810,train
1494313,train
1494646,train
1494713,train
1494716,train
1494895,train
1495241,test
1495978,train
1496386,train
1497649,train
1497683,train
1497873,train
1497886,test
1498171,train
1498186,train
1498522,train
1499229,train
1499410,train
1500142,train
1500948,train
1501020,train
1501096,train
1501190,test
1501758,train
1502356,train
1502936,train
1503104,train
1503283,validation
1504272,train
1504480,train
1505069,test
1505591,train
1505753,test
1505831,train
1506112,train
1507553,train
1507663,train
1507731,test
1508372,train
1508891,train
1508893,train
1509451,train
1510269,train
1511722,test
1512244,train
1512366,train
1512437,train
1512830,train
1513041,train
1513951,train
1514317,validation
1514339,train
1514715,train
1514831,train
1517206,validation
1517367,train
1517684,train
1517729,train
1518107,train
1518899,train
1519310,train
1520188,train
1521243,train
1522083,test
1522775,validation
1523526,train
1524144,train
1524190,train
1524210,train
1524446,train
1524818,train
1525340,train
1525461,validation
1525556,train
1526190,train
1526717,train
1526983,train
1527162,train
1527694,train
1528210,train
1529904,train
1530169,train
1530715,train
1531308,validation
1531925,validation
1532370,validation
1532480,train
1532506,train
1532754,test
1533245,train
1534024,train
1534454,train
1534928,train
0,test
63,train
76,train
83,train
94,train
131,validation
165,train
181,train
183,test
225,train
267,train
300,train
303,train
356,train
390,train
393,train
408,train
409,test
447,train
456,train
476,train
479,train
484,train
490,validation
502,test
539,train
549,test
578,train
626,train
643,train
657,validation
665,train
666,train
698,train
708,train
721,train
732,validation
759,validation
781,train
801,test
823,train
828,test
869,train
883,train
963,train
972,validation
990,train
1021,train
1027,train
1031,train
1033,train
1034,train
1047,validation
1118,train
1177,train
1235,train
1249,validation
1282,validation
1297,train
1317,train
1321,train
1340,train
1380,validation
1381,train
1431,train
1432,train
1440,validation
1444,train
1546,train
1563,train
1573,validation
1608,train
1672,train
1700,train
1705,train
1706,train
1746,train
1747,train
1794,train
1844,train
1850,validation
1863,train
1875,test
1883,train
1905,train
1919,train
1934,train
1956,train
1970,train
1977,train
2033,validation
2068,train
2106,validation
2130,train
2169,train
2193,train
2205,train
2224,train
2238,train
2252,train
2265,train
2289,train
2305,test
2357,validation
2375,train
2398,train
2437,train
2444,train
2460,test
2461,train
2508,train
2520,train
2567,train
2601,train
2677,validation
2691,train
2752,train
2788,test
2843,train
2855,train
2866,train
2892,train
2924,test
2959,train
2969,validation
2976,train
2984,test
3030,train
3047,validation
3072,train
3091,test
3099,train
3111,train
3115,validation
3172,train
3174,validation
3193,train
3194,train
3230,train
3286,train
3346,train
3367,train
3374,train
3384,train
3395,train
3400,train
3404,train
3408,train
3409,train
3421,test
3422,validation
3425,train
3436,train
3481,validation
3514,train
3531,train
3552,train
3559,train
3561,train
3569,train
3582,test
3583,validation
3611,train
3648,train
3670,validation
3679,train
3684,train
3696,train
3700,test
3703,train
3728,validation
3751,validation
3868,train
3877,train
3931,train
3933,train
3934,train
3943,train
3990,train
4028,validation
4036,train
4048,train
4082,train
4091,train
4128,train
4135,train
4138,train
4157,train
4194,train
4221,train
4232,train
4253,test
4284,train
4337,train
4345,train
4392,train
4436,train
4449,train
4452,train
4457,train
4463,train
4508,train
4515,train
4532,test
4585,train
4673,train
4690,train
4694,train
4700,train
4706,train
4753,train
4760,train
4777,train
4792,train
4794,train
4805,train
4809,train
4821,validation
4834,train
4847,train
4902,train
5012,test
5014,train
5018,train
5022,train
5032,train
5043,train
5051,train
5070,validation
5096,train
5107,train
5130,test
5135,train
5158,train
5169,train
5191,train
5207,train
5208,test
5235,train
5239,train
5240,train
5285,validation
5303,test
5309,validation
5336,train
5350,train
5383,train
5404,train
5444,train
5456,train
5476,train
5515,train
5528,train
5566,train
5572,train
5582,train
5588,train
5589,train
5592,train
5617,train
5625,train
5676,test
5679,train
5685,train
5701,train
5715,train
5719,train
5727,train
5730,test
5741,train
5750,validation
5757,train
5773,train
5798,test
5832,train
5838,train
5839,train
5862,train
5884,train
5905,train
5947,train
5968,train
5992,train
6025,train
6038,train
6098,train
6126,train
6131,train
6140,validation
6154,train
6182,train
6223,train
6224,train
6247,train
6254,train
6316,train
6322,train
6330,validation
6341,validation
6342,test
6348,train
6376,train
6429,train
6446,train
6505,train
6516,train
6560,train
6564,train
6591,train
6600,train
6602,train
6616,validation
6647,train
6663,train
6701,train
6707,train
6731,train
6786,train
6797,train
6817,train
6850,train
6916,train
6920,train
6935,train
6960,train
6978,test
6998,train
7015,train
7045,train
7048,train
7056,train
7071,train
7118,test
7132,train
7151,train
7172,train
7218,train
7228,train
7245,train
7259,train
7269,train
7282,train
7294,test
7308,train
7349,test
7350,train
7387,validation
7396,train
7398,validation
7411,test
7512,train
7525,test
7537,train
7584,train
7593,train
7595,train
7621,train
7623,train
7624,train
7642,train
7644,validation
7662,train
7669,train
7707,train
7708,train
7710,train
7736,train
7842,train
7857,test
7925,train
7933,train
7935,train
7945,train
7990,train
8043,train
8063,train
8068,train
8080,test
8085,validation
8109,train
8111,train
8114,train
8132,train
8163,train
8173,train
8182,train
8206,train
8220,train
8232,test
8289,test
8311,train
8317,train
8324,validation
8340,train
8343,train
8390,train
8401,train
8402,train
8404,validation
8417,test
8429,train
8431,train
8442,test
8454,train
8479,validation
8515,train
8524,train
8535,train
8554,train
8578,train
8634,train
8646,train
8683,train
8689,train
8705,validation
8721,test
8723,train
8780,validation
8797,train
8813,train
8816,test
8833,train
8834,train
8838,validation
8842,train
8907,validation
8918,validation
8925,train
8929,validation
8931,train
8941,train
8951,train
8971,test
8974,train
9016,train
9032,train
9037,train
9050,train
9057,train
9068,train
